,date,code,name,weight
0,2020-04-30,600000,浦发银行,0.95
1,2020-04-30,600004,白云机场,0.12
2,2020-04-30,600009,上海机场,0.52
3,2020-04-30,600010,包钢股份,0.19
4,2020-04-30,600011,华能国际,0.14
5,2020-04-30,600015,华夏银行,0.31
6,2020-04-30,600016,民生银行,1.11
7,2020-04-30,600018,上港集团,0.15
8,2020-04-30,600019,宝钢股份,0.33
9,2020-04-30,600023,浙能电力,0.11
10,2020-04-30,600025,华能水电,0.05
11,2020-04-30,600027,华电国际,0.09
12,2020-04-30,600028,中国石化,0.45
13,2020-04-30,600029,南方航空,0.18
14,2020-04-30,600030,中信证券,1.53
15,2020-04-30,600031,三一重工,0.88
16,2020-04-30,600036,招商银行,2.74
17,2020-04-30,600038,中直股份,0.1
18,2020-04-30,600048,保利地产,0.88
19,2020-04-30,600050,中国联通,0.37
20,2020-04-30,600061,国投资本,0.15
21,2020-04-30,600066,宇通客车,0.13
22,2020-04-30,600068,葛洲坝,0.14
23,2020-04-30,600085,同仁堂,0.11
24,2020-04-30,600089,特变电工,0.21
25,2020-04-30,600100,同方股份,0.13
26,2020-04-30,600104,上汽集团,0.5
27,2020-04-30,600109,国金证券,0.18
28,2020-04-30,600111,北方稀土,0.15
29,2020-04-30,600115,东方航空,0.15
30,2020-04-30,600118,中国卫星,0.15
31,2020-04-30,600153,建发股份,0.09
32,2020-04-30,600170,上海建工,0.11
33,2020-04-30,600176,中国巨石,0.14
34,2020-04-30,600177,雅戈尔,0.18
35,2020-04-30,600183,生益科技,0.28
36,2020-04-30,600188,兖州煤业,0.06
37,2020-04-30,600196,复星医药,0.26
38,2020-04-30,600208,新湖中宝,0.1
39,2020-04-30,600219,南山铝业,0.11
40,2020-04-30,600221,海航控股,0.13
41,2020-04-30,600233,圆通速递,0.09
42,2020-04-30,600271,航天信息,0.15
43,2020-04-30,600276,恒瑞医药,2.18
44,2020-04-30,600297,广汇汽车,0.09
45,2020-04-30,600299,安迪苏,0.03
46,2020-04-30,600309,万华化学,0.54
47,2020-04-30,600332,白云山,0.13
48,2020-04-30,600340,华夏幸福,0.22
49,2020-04-30,600346,恒力石化,0.23
50,2020-04-30,600352,浙江龙盛,0.24
51,2020-04-30,600362,江西铜业,0.1
52,2020-04-30,600369,西南证券,0.1
53,2020-04-30,600372,中航电子,0.06
54,2020-04-30,600383,金地集团,0.23
55,2020-04-30,600390,五矿资本,0.03
56,2020-04-30,600398,海澜之家,0.06
57,2020-04-30,600406,国电南瑞,0.35
58,2020-04-30,600436,片仔癀,0.32
59,2020-04-30,600438,通威股份,0.29
60,2020-04-30,600482,中国动力,0.08
61,2020-04-30,600487,亨通光电,0.17
62,2020-04-30,600489,中金黄金,0.11
63,2020-04-30,600498,烽火通信,0.17
64,2020-04-30,600516,方大炭素,0.1
65,2020-04-30,600519,贵州茅台,4.81
66,2020-04-30,600522,中天科技,0.21
67,2020-04-30,600535,天士力,0.1
68,2020-04-30,600547,山东黄金,0.29
69,2020-04-30,600566,济川药业,0.05
70,2020-04-30,600570,恒生电子,0.5
71,2020-04-30,600583,海油工程,0.08
72,2020-04-30,600585,海螺水泥,0.91
73,2020-04-30,600588,用友网络,0.44
74,2020-04-30,600606,绿地控股,0.16
75,2020-04-30,600637,东方明珠,0.14
76,2020-04-30,600655,豫园股份,0.09
77,2020-04-30,600660,福耀玻璃,0.21
78,2020-04-30,600663,陆家嘴,0.08
79,2020-04-30,600674,川投能源,0.12
80,2020-04-30,600690,海尔智家,0.43
81,2020-04-30,600703,三安光电,0.41
82,2020-04-30,600705,中航资本,0.16
83,2020-04-30,600733,北汽蓝谷,0.06
84,2020-04-30,600741,华域汽车,0.24
85,2020-04-30,600760,中航沈飞,0.11
86,2020-04-30,600795,国电电力,0.18
87,2020-04-30,600809,山西汾酒,0.21
88,2020-04-30,600816,*ST安信,0.04
89,2020-04-30,600837,海通证券,0.79
90,2020-04-30,600848,上海临港,0.06
91,2020-04-30,600867,通化东宝,0.14
92,2020-04-30,600886,国投电力,0.2
93,2020-04-30,600887,伊利股份,1.35
94,2020-04-30,600893,航发动力,0.17
95,2020-04-30,600900,长江电力,1.16
96,2020-04-30,600919,江苏银行,0.42
97,2020-04-30,600926,杭州银行,0.15
98,2020-04-30,600928,西安银行,0.02
99,2020-04-30,600958,东方证券,0.26
100,2020-04-30,600968,海油发展,0.04
101,2020-04-30,600977,中国电影,0.08
102,2020-04-30,600989,宝丰能源,0.05
103,2020-04-30,600998,九州通,0.08
104,2020-04-30,600999,招商证券,0.4
105,2020-04-30,601006,大秦铁路,0.32
106,2020-04-30,601009,南京银行,0.35
107,2020-04-30,601012,隆基股份,0.62
108,2020-04-30,601018,宁波港,0.1
109,2020-04-30,601021,春秋航空,0.1
110,2020-04-30,601066,中信建投,0.12
111,2020-04-30,601088,中国神华,0.4
112,2020-04-30,601108,财通证券,0.18
113,2020-04-30,601111,中国国航,0.16
114,2020-04-30,601117,中国化学,0.12
115,2020-04-30,601138,工业富联,0.2
116,2020-04-30,601155,新城控股,0.22
117,2020-04-30,601162,天风证券,0.03
118,2020-04-30,601166,兴业银行,1.83
119,2020-04-30,601169,北京银行,0.56
120,2020-04-30,601186,中国铁建,0.34
121,2020-04-30,601198,东兴证券,0.11
122,2020-04-30,601211,国泰君安,0.58
123,2020-04-30,601212,白银有色,0.03
124,2020-04-30,601216,君正集团,0.07
125,2020-04-30,601225,陕西煤业,0.23
126,2020-04-30,601229,上海银行,0.44
127,2020-04-30,601236,红塔证券,0.06
128,2020-04-30,601238,广汽集团,0.07
129,2020-04-30,601288,农业银行,1.0
130,2020-04-30,601298,青岛港,0.02
131,2020-04-30,601318,中国平安,6.1
132,2020-04-30,601319,中国人保,0.05
133,2020-04-30,601328,交通银行,1.08
134,2020-04-30,601336,新华保险,0.28
135,2020-04-30,601360,三六零,0.06
136,2020-04-30,601377,兴业证券,0.21
137,2020-04-30,601390,中国中铁,0.36
138,2020-04-30,601398,工商银行,0.84
139,2020-04-30,601555,东吴证券,0.18
140,2020-04-30,601577,长沙银行,0.06
141,2020-04-30,601600,中国铝业,0.14
142,2020-04-30,601601,中国太保,0.73
143,2020-04-30,601607,上海医药,0.16
144,2020-04-30,601618,中国中冶,0.14
145,2020-04-30,601628,中国人寿,0.36
146,2020-04-30,601633,长城汽车,0.07
147,2020-04-30,601668,中国建筑,0.83
148,2020-04-30,601669,中国电建,0.21
149,2020-04-30,601688,华泰证券,0.61
150,2020-04-30,601698,中国卫通,0.05
151,2020-04-30,601727,上海电气,0.13
152,2020-04-30,601766,中国中车,0.46
153,2020-04-30,601788,光大证券,0.17
154,2020-04-30,601800,中国交建,0.14
155,2020-04-30,601808,中海油服,0.06
156,2020-04-30,601818,光大银行,0.45
157,2020-04-30,601828,美凯龙,0.03
158,2020-04-30,601838,成都银行,0.11
159,2020-04-30,601857,中国石油,0.33
160,2020-04-30,601877,正泰电器,0.2
161,2020-04-30,601878,浙商证券,0.1
162,2020-04-30,601881,中国银河,0.1
163,2020-04-30,601888,中国国旅,0.68
164,2020-04-30,601898,中煤能源,0.05
165,2020-04-30,601899,紫金矿业,0.41
166,2020-04-30,601901,方正证券,0.22
167,2020-04-30,601919,中远海控,0.11
168,2020-04-30,601933,永辉超市,0.29
169,2020-04-30,601939,建设银行,0.33
170,2020-04-30,601985,中国核电,0.2
171,2020-04-30,601988,中国银行,0.56
172,2020-04-30,601989,中国重工,0.29
173,2020-04-30,601992,金隅集团,0.08
174,2020-04-30,601997,贵阳银行,0.15
175,2020-04-30,601998,中信银行,0.12
176,2020-04-30,603019,中科曙光,0.23
177,2020-04-30,603156,养元饮品,0.09
178,2020-04-30,603160,汇顶科技,0.24
179,2020-04-30,603259,药明康德,0.57
180,2020-04-30,603260,合盛硅业,0.03
181,2020-04-30,603288,海天味业,0.75
182,2020-04-30,603501,韦尔股份,0.25
183,2020-04-30,603799,华友钴业,0.18
184,2020-04-30,603833,欧派家居,0.1
